visit_date,site_id,registered,device_class_code,referrer_medium,referrer_source,num_visits,locale_code
2019-07-03,305,false,desktop,direct,unknown,213,UNKNOWN_LOCALE
2019-07-03,103,false,smartphone,direct,unknown,210,UNKNOWN_LOCALE
2019-07-03,117,false,tablet,unknown,unknown,207,UNKNOWN_LOCALE
2019-07-03,120,false,desktop,direct,unknown,202,UNKNOWN_LOCALE
2019-07-03,303,false,smartphone,search,Google,201,UNKNOWN_LOCALE
2019-07-03,106,false,smartphone,search,Google,199,UNKNOWN_LOCALE
2019-07-03,117,false,desktop,unknown,unknown,199,UNKNOWN_LOCALE
2019-07-03,302,false,desktop,internal,unknown,196,UNKNOWN_LOCALE
2019-07-03,117,false,desktop,social,Facebook,196,UNKNOWN_LOCALE
2019-07-03,1201,false,smartphone,direct,unknown,194,UNKNOWN_LOCALE
2019-07-03,303,true,desktop,direct,unknown,193,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,internal,unknown,192,UNKNOWN_LOCALE
2019-07-03,904,true,desktop,direct,unknown,191,UNKNOWN_LOCALE
2019-07-03,308,false,desktop,direct,unknown,188,UNKNOWN_LOCALE
2019-07-03,111,true,desktop,direct,unknown,184,UNKNOWN_LOCALE
2019-07-03,305,false,smartphone,search,Google,182,UNKNOWN_LOCALE
2019-07-03,301,false,smartphone,internal,unknown,180,UNKNOWN_LOCALE
2019-07-03,1103,false,smartphone,search,Google,180,UNKNOWN_LOCALE
2019-07-03,121,false,smartphone,internal,unknown,173,UNKNOWN_LOCALE
2019-07-03,305,false,smartphone,social,Instagram,173,UNKNOWN_LOCALE
2019-07-03,904,true,smartphone,search,Google,172,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,internal,unknown,172,UNKNOWN_LOCALE
2019-07-03,301,false,desktop,search,Google,169,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,social,Youtube,167,UNKNOWN_LOCALE
2019-07-03,120,false,smartphone,direct,unknown,167,UNKNOWN_LOCALE
2019-07-03,309,false,smartphone,search,Google,166,UNKNOWN_LOCALE
2019-07-03,118,false,smartphone,search,Google,166,UNKNOWN_LOCALE
2019-07-03,1303,false,smartphone,direct,unknown,165,UNKNOWN_LOCALE
2019-07-03,305,false,smartphone,Social,Facebook,161,UNKNOWN_LOCALE
2019-07-03,113,false,smartphone,internal,unknown,159,UNKNOWN_LOCALE
