campaign_id,ncampaign_id,description,valid_from,valid_to,is_continuous
11820002,BNL_SINGLESDAY_NOV20,XXX,,,false
3930001,pl-4dlx-promo,XXX,,,false
19170001,YSL_UK_DAY8_POUCH+BOGWP,XXX,,,false
19170002,NO_NO100OFF_100%_DEC20,XXX,,,false
19170003,GWP_Christmas_Days_FR_20201208,XXX,,,false
8360001,KIE-SA-Burnable-2020,XXX,,,false
8370001,IT-BIRTHDAY2019,XXX,,,false
21790001,YSL-FR-OFFRE-CALENDRIER-DE-LAVENT-22122020,XXX,,,false
21790002,LAC-FR-OFFRE-CALENDRIER-DE-LAVENT-25-22122020,XXX,,,false
11910001,__UNDEFINED__,XXX,,,false
11940001,KIE_FR_20201110_20201111_SINGLESDAY-LOYALTY,XXX,,,false
1514189,CZ_Prospects_Pece plna prirody_set,,2020-07-12 22:00:00.000,2020-09-13 22:00:00.000,true
11970001,ITC_FR_20201110_20201111_ITSINGLEDAY_DISCOUNT25%,XXX,,,false
21840001,UD_UK_01-21_JAN_GWP-WATER-BOTTLE,XXX,,,false
21840002,KIE_SA_2020-12-11_2021-01-03_HOLIDAY10,XXX,,,false
21840003,PL_free_shipping,XXX,,,false
21840004,UDC-IT-FRIENDS-AND-FANATICS-MAR2020-CINICA,XXX,,,false
21840005,Discount_Bundles_20190206,XXX,,,false
21840006,ro-free-delivery-plus-10-samples,XXX,,,false
21840007,Free_Samples_March_20200309,XXX,,,false
21840008,DE - Jamina20,XXX,,,false
28820001,AT-KIE-UFC-DLX-022021,XXX,,,false
25570001,DE-Celebrateyourskinset-40-012021,XXX,,,false
11980001,DE-FREESHIPPING-2020_11,XXX,,,false
28850001,CZ_vitaminC,XXX,,,false
12020001,E2_SINGLESDAY_NOV20,XXX,,,false
12080001,ES-Guilio-20-noviembre,XXX,,,false
12080002,ro-pre-bf,XXX,,,false
12080003,ro-pre-bf-02,XXX,,,false
12120001,GIORNO 2 - LE 10 GIOIE DEL NATALE,XXX,,,false
12120002,DE-BIO-SINGLESDAY-SINGLESDAY25-112020,XXX,,,false
12200001,KIE_ES_11-11_Singles-2020,XXX,,,false
12220001,LOY-DE-Catalog Tier 1 (120 pts),XXX,,,false
2190011,pl-ff-promo,,2020-08-26 22:00:00.000,2020-08-27 22:00:00.000,true
12280001,ARMANI_UK_2020-11-27_2020-12-01_BLUEFRIDAY,XXX,,,false
1512913,E2-F&F-JUNE19,,2019-10-02 22:00:00.000,2019-10-06 22:00:00.000,true
12310001,LAC-FR-OFFRE-INFLUENCE-NESSMA,XXX,,,false
12320001,Customer Care 15% Offf,XXX,,,false
12330001,NYX_FR_20201109-20201110-KAM25,XXX,,,false
27670001,GWP_VDAY_GIFT-2019,XXX,,,false
1513079,DE_LAC_TeintPromo_2019,20.10 - 03.11
Teint Animation
GWP MINI PINCEAU TEINT S2 16 (3614271081704) + SMALL TRANSPARENT POUCH PINK S1 19 DDP (3614272623811)
ab 49 EUR,2019-10-19 22:00:00.000,2019-11-03 23:00:00.000,true
28930001,YSL-FR-OFFRE-INFLUENCE-POST-STVAL-2021,XXX,,,false
28980001,DE-KIE-FSS-17_31122021,XXX,,,false
36110001,LAC-FR-TRIGGER-WELCOMEFID20-SC,XXX,,,false
44550001,DE-ITC-JAMINA20-052021,XXX,,,false
37400001,KIE_FR_20210405-20210411_BOGOF-TRIAL-SIZES,XXX,,,false
37440001,20210404_LES_EXCESSIVES,XXX,,,false
37460001,20210402_April-GWP,XXX,,,false
40023,Discount10_MICHI10_July_20200729,XXX,,,false
90001,FREESHIPPING-STANDARD,XXX,,,false
100001,BIO_FR_FREE_SHIPPING_2020_COVID,XXX,,,false
90002,BIO_FR_JULY2020_DISCOUNT30_ALLCLIENTS,XXX,,,false
100002,NYX_UK_2020-07-06_2021-09-01_SUMMERSALE,XXX,,,false
100003,ES-FREESHIPPING,XXX,,,false
100004,Shipping_SHIPPING_20190215,XXX,,,false
100005,NYX_UK_2020-03-25_2020-05-31_20OFF,XXX,,,false
100006,UK_DISCOUNT_HOLIDAY_SALES_20191220,XXX,,,false
110001,DE-MWST-082020,XXX,,,false
110002,AOX - SANOFLORE - 2020-07 - SUMMER80,XXX,,,false
120001,ITC_UK_31082020_ongoing_welcome15,XXX,,,false
130001,GLOW-15%-40€,XXX,,,false
130002,DE_ITC_Welcome_2019,XXX,,,false
140001,UK_DISCOUNT_UNIDAYS_20180601,XXX,,,false
140002,AOX - VICHY 07/2020 - 30 PCT SELECTION PRODUIT,XXX,,,false
140003,LAC-FR-TRIGGER-GWP-MYBIRTHDAY,XXX,,,false
140004,FR-FREESHIPPING,XXX,,,false
140005,BIO_FR_20200518_20200630_GWP_TEST,XXX,,,false
150001,GWP_HB5_MEINGESCHENK1_20200710,XXX,,,false
160001,KIE_FR_CONTINOUS_AFFILIATE,XXX,,,false
140006,GWP_Bienvenue_20190719,XXX,,,false
140007,FREESHIPPING-AT,XXX,,,false
160002,Discount_WELCOME_20180416,XXX,,,false
170001,KIE_FR_20200724_CONTINUOUS_GWP_CREAMY-EYE,XXX,,,false
170002,NYX_UK_2020-08-03_2020-08-14_BROW20,XXX,,,false
160003,Free_Samples_AUGUST_20200801,XXX,,,false
160004,GWP_ADVANCED_BRIGHTENING_20200727,XXX,,,false
160005,LPA_FR_2020-06-29_2020-09-30_SGMB,XXX,,,false
160006,ES-FREESHIPPING,XXX,,,false
160007,Discount-urban20-20170515,XXX,,,false
170003,NYX_ES_07-02-2020_08-31-2020_NYXGSG15,XXX,,,false
170004,ES_FREE_SHIPPING_20190731,XXX,,,false
170005,CZ_výprodej ukončených produktů 30%,XXX,,,false
170006,CZ_výprodej_Holiday2019,XXX,,,false
170007,CZ_SAMPLE,XXX,,,false
170008,FR_DISCOUNT_WELCOME35_20190201,XXX,,,false
130003,GLOW-25%-60€,XXX,,,false
130004,IT-Promo-Thank-You-Card-Free-Ship,XXX,,,false
130005,IT-BIO-2X1-DEODORANTI-AGOSTO-2020,XXX,,,false
130006,PermanentFreeShipping,XXX,,,false
130007,ES_DISCOUNT_WELCOME_20180810,XXX,,,false
140008,pl-vichy-sets,XXX,,,false
140009,DE-FREESHIPPING,XXX,,,false
150002,UDC-IT-SUMMER-DEALS-2020,XXX,,,false
150003,ES-UDNUEVO,XXX,,,false
180001,pl-free-delivery,XXX,,,false
180002,pl-free-delivery-registered,XXX,,,false
180003,AOX - LRP - 2020 - OFFRE BIENVENUE 15,XXX,,,false
180004,pl-lipikar-cicaplast-2,XXX,,,false
180005,AOX - VICHY 06/2020 - COLLAGEN SPECIALIST OFFERT,XXX,,,false
190001,UK_DISCOUNT_BIRTHDAY_GENERIC_20180907,XXX,,,false
200001,NYX_FR_2020-01-07_2020-31-07_LETSGLOW,XXX,,,false
200002,ES_GWP_checkout_2020,XXX,,,false
200003,LAC_ES_22-7_31-8_Solares,XXX,,,false
200004,free_shipping_no_coupon,XXX,,,false
210001,AOX-CAF-SERVICECLIENT-201911,XXX,,,false
210002,AOX-VICHY-07/2020-MR-LIV-OFFERTE-CODE-LIVRAISON,XXX,,,false
220001,E2-GWP-JUL20,XXX,,,false
220002,pl-lrp-sets,XXX,,,false
230001,0000-CUSTOMER-CARE-CH-CAMPAIGN,XXX,,,false
240001,LAST-CHANCE-40%,XXX,,,false
220003,UDC_FR_CONTINUOUSLY_GWP_LASHFREEK,XXX,,,false
220004,UD_FR_20200729_20200831_NICO25_DISCOUNT25%,XXX,,,false
