metric_id,metric_name,metric_value,create_date
492,session_count,1022,2018-04-16 13:42:00.000
493,sys_wkld,17,2018-04-16 13:42:00.000
494,session_count,991,2018-04-16 13:43:00.000
495,sys_wkld,18,2018-04-16 13:43:00.000
496,basket_creates,279,2018-04-16 13:43:00.000
497,sys_wkld,21,2018-04-16 13:44:00.000
498,request_count,4413,2018-04-16 13:44:00.000
499,order_creates,1,2018-04-16 13:45:00.000
500,session_count,905,2018-04-16 13:45:00.000
501,basket_updates,604,2018-04-16 12:20:00.000
502,basket_creates,183,2018-04-16 12:20:00.000
503,request_count,4202,2018-04-16 12:23:00.000
504,basket_updates,582,2018-04-16 12:26:00.000
505,order_creates,3,2018-04-16 13:28:00.000
506,request_count,4453,2018-04-16 13:28:00.000
507,request_count,4323,2018-04-16 13:33:00.000
508,basket_updates,539,2018-04-16 13:18:00.000
509,basket_creates,189,2018-04-16 13:18:00.000
510,request_count,4213,2018-04-16 13:20:00.000
511,basket_updates,754,2018-04-16 13:22:00.000
512,basket_creates,174,2018-04-16 13:22:00.000
513,request_count,4207,2018-04-16 13:23:00.000
514,session_count,834,2018-04-16 13:59:00.000
515,sys_wkld,7,2018-04-16 13:59:00.000
516,basket_updates,860,2018-04-16 14:00:00.000
517,basket_updates,664,2018-04-16 14:01:00.000
518,basket_creates,180,2018-04-16 14:01:00.000
519,basket_updates,803,2018-04-16 14:02:00.000
520,basket_creates,167,2018-04-16 14:02:00.000
521,request_count,4505,2018-04-16 14:03:00.000
522,request_count,4419,2018-04-16 12:28:00.000
523,basket_updates,673,2018-04-16 12:28:00.000
524,basket_creates,174,2018-04-16 12:28:00.000
525,request_count,4318,2018-04-16 12:29:00.000
526,order_creates,1,2018-04-16 12:32:00.000
527,session_count,823,2018-04-16 12:32:00.000
528,basket_updates,684,2018-04-16 13:23:00.000
529,basket_creates,150,2018-04-16 13:23:00.000
530,order_creates,1,2018-04-16 13:27:00.000
531,session_count,724,2018-04-16 13:27:00.000
532,sys_wkld,16,2018-04-16 13:27:00.000
533,request_count,4540,2018-04-16 13:29:00.000
534,order_creates,3,2018-04-16 13:30:00.000
535,session_count,840,2018-04-16 13:30:00.000
