payment_method_id,npayment_method_id,display_name
110015,BML,Bill Me Later
110016,GIFT_CERTIFICATE,Gift Certificate
110018,BANK_TRANSFER,Bank Transfer
110019,BML,Bill Me Later
110020,DW_APPLE_PAY,Apple Pay
110021,DW_ANDROID_PAY,Android Pay
110022,DW_APPLE_PAY,Apple Pay
110023,DW_ANDROID_PAY,Android Pay
110024,COD,COD
20060,DW_ANDROID_PAY,Android Pay
20033,DW_APPLE_PAY,Apple Pay
110002,CREDIT_CARD,Credit Card
60007,PayPal,PayPal
120001,GIFT_CERTIFICATE,Gift Certificate
130002,BANK_TRANSFER,Bank Transfer
130003,BML,Bill Me Later
110008,PayPal,Pay pal
110025,PayPal,PayPal
130004,DW_APPLE_PAY,Apple Pay
130005,DW_ANDROID_PAY,Android Pay
130008,CREDIT_CARD,Credit Card
130007,GIFT_CERTIFICATE,Gift Certificate
420004,BML,Bill Me Later
130009,BANK_TRANSFER,Bank Transfer
130010,BML,Bill Me Later
130006,PayPal,Pay Pal
420005,DW_APPLE_PAY,Apple Pay
420006,DW_ANDROID_PAY,Android Pay
970009,BML,Bill Me Later
340001,HostedCreditCard,Hosted Credit Card
340002,HostedCreditCard,Hosted Credit Card
340003,HostedCreditCard,Hosted Credit Card
970010,DW_APPLE_PAY,Apple Pay
420008,AdyenPOS,AdyenPOS
420009,GIFT_CERTIFICATE,Gift Certificate
420010,CREDIT_CARD,Credit Card
420011,BANK_TRANSFER,Bank Transfer
420012,BML,Bill Me Later
420013,DW_APPLE_PAY,Apple Pay
420014,DW_ANDROID_PAY,Android Pay
420016,AdyenPOS,AdyenPOS
420007,Adyen,Adyen
420015,Adyen,Adyen
360003,BANK_TRANSFER,Bank Transfer
360004,BML,Bill Me Later
360005,DW_APPLE_PAY,Apple Pay
360006,DW_ANDROID_PAY,Android Pay
460004,BML,Bill Me Later
460005,DW_APPLE_PAY,Apple Pay
460006,DW_ANDROID_PAY,Android Pay
460007,PayPal,Pay Payl
460008,HostedCreditCard,Hosted Credit Card
460009,GIFT_CERTIFICATE,Gift Certificate
460010,CREDIT_CARD,Credit Card
460011,BANK_TRANSFER,Bank Transfer
460012,BML,Bill Me Later
460013,DW_APPLE_PAY,Apple Pay
460014,DW_ANDROID_PAY,Android Pay
460015,PayPal,Pay Pal
470035,GIFT_CERTIFICATE,Gift Certificate
470036,CREDIT_CARD,Credit Card
470037,BANK_TRANSFER,Bank Transfer
470038,BML,Bill Me Later
470039,DW_APPLE_PAY,Apple Pay
470040,DW_ANDROID_PAY,Android Pay
470043,GIFT_CERTIFICATE,Gift Certificate
470044,CREDIT_CARD,Credit Card
470045,BANK_TRANSFER,Bank Transfer
470046,BML,Bill Me Later
120002,DW_APPLE_PAY,Apple Pay
120003,DW_ANDROID_PAY,Android Pay
180001,Sofurt,SOFORT
90003,BANK_TRANSFER,Bank Transfer
90004,BML,Bill Me Later
80009,BANK_TRANSFER,Bank Transfer
80010,BML,Bill Me Later
80011,DW_APPLE_PAY,Apple Pay
80012,DW_ANDROID_PAY,Android Pay
430001,PayPal,PayPal
90006,DW_ANDROID_PAY,Android Pay
410001,COD,Cash On Delivery
970011,DW_ANDROID_PAY,Android Pay
160001,PayPal,Pay Pal
140001,PayPal,Pay Pal
90002,CREDIT_CARD,Credit Card
150001,PayPal,Pay Pal
190001,PayPal,Pay Pal
970012,PAYMENTTECH_GIFTCARD,PAYMENTTECH_GIFTCARD
970013,GRATIS,GRATIS
970014,COD,Cash On Delivery
1410002,PROCESSOUT_CARD,Bank Card
70001,GIFT_CERTIFICATE,Gift Certificate
440002,CREDIT_CARD,Credit Card
190003,CREDIT_CARD,Credit Card
120004,PayPal,Pay Pal
190008,GIFT_CERTIFICATE,Gift Certificate
190009,CREDIT_CARD,Credit Card
190010,BANK_TRANSFER,Bank Transfer
190011,BML,Bill Me Later
190012,DW_APPLE_PAY,Apple Pay
190013,DW_ANDROID_PAY,Android Pay
190004,BANK_TRANSFER,Bank Transfer
190005,BML,Bill Me Later
190006,DW_APPLE_PAY,Apple Pay
190007,DW_ANDROID_PAY,Android Pay
170001,GIFT_CERTIFICATE,Gift Certificate
170002,CREDIT_CARD,Credit Card
170003,BANK_TRANSFER,Bank Transfer
170004,BML,Bill Me Later
170005,DW_APPLE_PAY,Apple Pay
170006,DW_ANDROID_PAY,Android Pay
170007,GIFT_CERTIFICATE,Gift Certificate
170008,CREDIT_CARD,Credit Card
170009,BANK_TRANSFER,Bank Transfer
170010,BML,Bill Me Later
170011,DW_APPLE_PAY,Apple Pay
170012,DW_ANDROID_PAY,Android Pay
170016,BML,Bill Me Later
170017,DW_APPLE_PAY,Apple Pay
170018,DW_ANDROID_PAY,Android Pay
200001,PayPal,Pay Pal
200002,PAYMENTTECH_GIFTCARD,Gift Card
200003,COD,Cash on Delivery
190002,GIFT_CERTIFICATE,Gift Certificate
210001,HostedCreditCard,Hosted Credit Card
220001,PayPal,Pay Pal
220002,PayPal,Pay Pal
170013,GIFT_CERTIFICATE,Gift Certificate
170014,CREDIT_CARD,Credit Card
170015,BANK_TRANSFER,Bank Transfer
220003,PayPal,Pay Pal
440003,BANK_TRANSFER,Bank Transfer
440001,GIFT_CERTIFICATE,Kitty Jackpot
360002,CREDIT_CARD,Credit Card
440004,BML,Bill Me Later
440005,DW_APPLE_PAY,Apple Pay
440006,DW_ANDROID_PAY,Android Pay
450001,PayPal,Pay Pal
470001,GIFT_CERTIFICATE,Gift Certificate
980001,GIFT_CERTIFICATE,Gift Certificate
470003,CREDIT_CARD,Credit Card
470004,BANK_TRANSFER,Bank Transfer
470005,BML,Bill Me Later
470006,DW_APPLE_PAY,Apple Pay
470007,DW_ANDROID_PAY,Android Pay
470028,CREDIT_CARD,Credit Card
470009,PAYMENTTECH_GIFTCARD,Gift Card
470010,Paypal,Paypal
470011,GIFT_CERTIFICATE,Gift Certificate
470012,CREDIT_CARD,Credit Card
470013,BANK_TRANSFER,Bank Transfer
470014,BML,Bill Me Later
470015,DW_APPLE_PAY,Apple Pay
470016,DW_ANDROID_PAY,Android Pay
470018,HostedCreditCard,Hosted Credit Card
470019,GIFT_CERTIFICATE,Gift Certificate
470020,CREDIT_CARD,Credit Card
470021,BANK_TRANSFER,Bank Transfer
470022,BML,Bill Me Later
470023,DW_APPLE_PAY,Apple Pay
470024,DW_ANDROID_PAY,Android Pay
470025,Adyen,PayPal
470026,PayPal,Paypal
470027,GIFT_CERTIFICATE,Gift Certificate
1420001,PROCESSOUT_APPLEPAY,PROCESSOUT_APPLEPAY
470029,BANK_TRANSFER,Bank Transfer
470030,BML,Bill Me Later
470031,DW_APPLE_PAY,Apple Pay
470032,DW_ANDROID_PAY,Android Pay
480001,COD,Płatność za pobraniem
470017,PayPal,Pay Pal
470047,DW_APPLE_PAY,Apple Pay
470048,DW_ANDROID_PAY,Android Pay
470049,Adyen,PayPal
470050,PayPal,Paypal
1410001,PROCESSOUT_APM,Fast transfer
460002,CREDIT_CARD,Credit Card
1430001,PayPal,PayPal
990002,BANK_TRANSFER,Bank Transfer
20068,CREDIT_CARD,Credit Card
500001,GIFT_CERTIFICATE,Gift Certificate
500002,CREDIT_CARD,Credit Card
500003,BANK_TRANSFER,Bank Transfer
500004,BML,Bill Me Later
500005,DW_APPLE_PAY,Apple Pay
500006,DW_ANDROID_PAY,Android Pay
500007,PayPal,Pay Pal
500008,PAYMENTTECH_GIFTCARD,PAYMENTTECH_GIFTCARD
990003,BML,Bill Me Later
510001,GIFT_CERTIFICATE,Gift Certificate
510002,CREDIT_CARD,Credit Card
