visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-27,114,true,Browser,Microsoft Edge,EdgeHTML/Blink,Windows 10,Windows,Desktop,unknown,unknown,2,UNKNOWN_LOCALE
2019-06-27,116,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy A20e,Samsung,2,UNKNOWN_LOCALE
2019-06-27,1102,false,Mobile browser,Safari mobile,WebKit,iOS 8,iOS,Tablet,iPad,Apple,2,UNKNOWN_LOCALE
2019-06-27,113,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Galaxy S6 Edge+,Samsung,2,UNKNOWN_LOCALE
2019-06-27,106,false,Browser,Chrome,WebKit/Blink,OS X 10.10 Yosemite,OS X,Desktop,Mac,Apple,2,UNKNOWN_LOCALE
2019-06-27,902,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Mate 8,Huawei,2,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Galaxy A3,Samsung,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Galaxy A3,Samsung,2,UNKNOWN_LOCALE
2019-06-27,304,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Galaxy A3 (2016),Samsung,2,UNKNOWN_LOCALE
2019-06-27,1302,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Galaxy S7 Edge,Samsung,2,UNKNOWN_LOCALE
2019-06-27,1102,false,Mobile browser,Instagram App,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy A5,Samsung,2,UNKNOWN_LOCALE
2019-06-27,904,false,Mobile browser,Instagram App,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Y6 (2017),Huawei,2,UNKNOWN_LOCALE
2019-06-27,901,true,Browser,Chrome,WebKit/Blink,Windows 8.1,Windows,Desktop,unknown,unknown,2,UNKNOWN_LOCALE
2019-06-27,112,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Pixel XL,Google,2,UNKNOWN_LOCALE
