sku_id,nsku_id,sku_display_name,sku_upc_code,sku_ean_code,sku_brand,sku_manufacture_name,sku_manufacture_sku,product_id,nproduct_id,product_display_name,product_upc_code,product_ean_code,product_brand,product_manufacture_name,product_manufacture_sku,is_master,is_bundle
16256,3365440333512,3365440333512,3365440333512,3365440333512,YSL,,,5852,3365440333512,3365440333512,3365440333512,3365440333512,YSL,,,false,false
16226,3365440333161,3365440333161,3365440333161,3365440333161,YSL,,,5822,3365440333161,3365440333161,3365440333161,3365440333161,YSL,,,false,false
3450210,3605061260041,3605061260041,3605061260041,3605061260041,YSL,,,180210,3605061260041,3605061260041,3605061260041,3605061260041,YSL,,,false,false
3450211,3605061260065,3605061260065,3605061260065,3605061260065,YSL,,,180211,3605061260065,3605061260065,3605061260065,3605061260065,YSL,,,false,false
9052685,4056047246327,4056047246327,4056047246327,4056047246327,Lancôme,,,441479,4056047246327,4056047246327,4056047246327,4056047246327,Lancôme,,,false,false
9052686,4056047246334,4056047246334,4056047246334,4056047246334,Lancôme,,,441480,4056047246334,4056047246334,4056047246334,4056047246334,Lancôme,,,false,false
9052687,4056047246341,4056047246341,4056047246341,4056047246341,Lancôme,,,441481,4056047246341,4056047246341,4056047246341,4056047246341,Lancôme,,,false,false
9052688,4056047246358,4056047246358,4056047246358,4056047246358,Lancôme,,,441482,4056047246358,4056047246358,4056047246358,4056047246358,Lancôme,,,false,false
9052689,4056047246365,4056047246365,4056047246365,4056047246365,Lancôme,,,441483,4056047246365,4056047246365,4056047246365,4056047246365,Lancôme,,,false,false
9052690,4056047246372,4056047246372,4056047246372,4056047246372,Lancôme,,,441484,4056047246372,4056047246372,4056047246372,4056047246372,Lancôme,,,false,false
16268,3365440333697,3365440333697,3365440333697,3365440333697,YSL,,,5864,3365440333697,3365440333697,3365440333697,3365440333697,YSL,,,false,false
16269,3365440333710,3365440333710,3365440333710,3365440333710,YSL,,,5865,3365440333710,3365440333710,3365440333710,3365440333710,YSL,,,false,false
16273,3365440333765,Rouge Pur  - 132 Nude Beige,3365440333765,3365440333765,YSL,,,5869,3365440333765,Rouge Pur  - 132 Nude Beige,3365440333765,3365440333765,YSL,,,false,false
16280,3365440333857,3365440333857,3365440333857,3365440333857,YSL,,,5876,3365440333857,3365440333857,3365440333857,3365440333857,YSL,,,false,false
16284,3365440333901,3365440333901,3365440333901,3365440333901,YSL,,,5880,3365440333901,3365440333901,3365440333901,3365440333901,YSL,,,false,false
16285,3365440333918,3365440333918,3365440333918,3365440333918,YSL,,,5881,3365440333918,3365440333918,3365440333918,3365440333918,YSL,,,false,false
16286,3365440333932,3365440333932,3365440333932,3365440333932,YSL,,,5882,3365440333932,3365440333932,3365440333932,3365440333932,YSL,,,false,false
16287,3365440333956,3365440333956,3365440333956,3365440333956,YSL,,,5883,3365440333956,3365440333956,3365440333956,3365440333956,YSL,,,false,false
16288,3365440333970,3365440333970,3365440333970,3365440333970,YSL,,,5884,3365440333970,3365440333970,3365440333970,3365440333970,YSL,,,false,false
16289,3365440333987,3365440333987,3365440333987,3365440333987,YSL,,,5885,3365440333987,3365440333987,3365440333987,3365440333987,YSL,,,false,false
16290,3365440334007,3365440334007,3365440334007,3365440334007,YSL,,,5886,3365440334007,3365440334007,3365440334007,3365440334007,YSL,,,false,false
16291,3365440334014,3365440334014,3365440334014,3365440334014,YSL,,,5887,3365440334014,3365440334014,3365440334014,3365440334014,YSL,,,false,false
16294,3365440334243,3365440334243,3365440334243,3365440334243,YSL,,,5890,3365440334243,3365440334243,3365440334243,3365440334243,YSL,,,false,false
16296,3365440334274,3365440334274,3365440334274,3365440334274,YSL,,,5892,3365440334274,3365440334274,3365440334274,3365440334274,YSL,,,false,false
16297,3365440334281,3365440334281,3365440334281,3365440334281,YSL,,,5893,3365440334281,3365440334281,3365440334281,3365440334281,YSL,,,false,false
16298,3365440334298,3365440334298,3365440334298,3365440334298,YSL,,,5894,3365440334298,3365440334298,3365440334298,3365440334298,YSL,,,false,false
16299,3365440334311,3365440334311,3365440334311,3365440334311,YSL,,,5895,3365440334311,3365440334311,3365440334311,3365440334311,YSL,,,false,false
16302,3365440334359,3365440334359,3365440334359,3365440334359,YSL,,,5898,3365440334359,3365440334359,3365440334359,3365440334359,YSL,,,false,false
17915,3365440559585,3365440559585,3365440559585,3365440559585,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17916,3365440559547,3365440559547,3365440559547,3365440559547,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17920,3365440624931,3365440624931,3365440624931,3365440624931,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17923,3365440624856,3365440624856,3365440624856,3365440624856,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17924,3365440333949,3365440333949,3365440333949,3365440333949,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17925,3365440648371,3365440648371,3365440648371,3365440648371,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17929,3365440321830,3365440321830,3365440321830,3365440321830,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17930,3365440305762,3365440305762,3365440305762,3365440305762,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17931,3365440321847,3365440321847,3365440321847,3365440321847,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
16274,3365440333772,3365440333772,3365440333772,3365440333772,YSL,,,5870,3365440333772,3365440333772,3365440333772,3365440333772,YSL,,,false,false
16301,3365440334342,3365440334342,3365440334342,3365440334342,YSL,,,5897,3365440334342,3365440334342,3365440334342,3365440334342,YSL,,,false,false
16295,3365440334250,3365440334250,3365440334250,3365440334250,YSL,,,5891,3365440334250,3365440334250,3365440334250,3365440334250,YSL,,,false,false
7270117,4056048024740,4056048024740,,4056048024740,,,,296217,4056048024740,4056048024740,,4056048024740,,,,false,false
9052691,4056047246389,4056047246389,4056047246389,4056047246389,Lancôme,,,441485,4056047246389,4056047246389,4056047246389,4056047246389,Lancôme,,,false,false
9052692,4056047246396,4056047246396,4056047246396,4056047246396,Lancôme,,,441486,4056047246396,4056047246396,4056047246396,4056047246396,Lancôme,,,false,false
9052693,4056047246402,4056047246402,4056047246402,4056047246402,Lancôme,,,441487,4056047246402,4056047246402,4056047246402,4056047246402,Lancôme,,,false,false
9052694,4056047246419,4056047246419,4056047246419,4056047246419,Lancôme,,,441488,4056047246419,4056047246419,4056047246419,4056047246419,Lancôme,,,false,false
14520024,4056047286316,4056047286316,4056047286316,4056047286316,Lancôme,,,763827,4056047286316,4056047286316,4056047286316,4056047286316,Lancôme,,,false,false
9052696,4056047296506,4056047296506,4056047296506,4056047296506,Lancôme,,,441490,4056047296506,4056047296506,4056047296506,4056047296506,Lancôme,,,false,false
16314,3365440334519,3365440334519,3365440334519,3365440334519,YSL,,,5910,3365440334519,3365440334519,3365440334519,3365440334519,YSL,,,false,false
16324,3365440334694,3365440334694,3365440334694,3365440334694,YSL,,,5920,3365440334694,3365440334694,3365440334694,3365440334694,YSL,,,false,false
16325,3365440334717,3365440334717,3365440334717,3365440334717,YSL,,,5921,3365440334717,3365440334717,3365440334717,3365440334717,YSL,,,false,false
16327,3365440334816,3365440334816,3365440334816,3365440334816,YSL,,,5923,3365440334816,3365440334816,3365440334816,3365440334816,YSL,,,false,false
16328,3365440334830,3365440334830,3365440334830,3365440334830,YSL,,,5924,3365440334830,3365440334830,3365440334830,3365440334830,YSL,,,false,false
16329,3365440334854,3365440334854,3365440334854,3365440334854,YSL,,,5925,3365440334854,3365440334854,3365440334854,3365440334854,YSL,,,false,false
16330,3365440334878,3365440334878,3365440334878,3365440334878,YSL,,,5926,3365440334878,3365440334878,3365440334878,3365440334878,YSL,,,false,false
16334,3365440334953,3365440334953,3365440334953,3365440334953,YSL,,,5930,3365440334953,3365440334953,3365440334953,3365440334953,YSL,,,false,false
16335,3365440334977,3365440334977,3365440334977,3365440334977,YSL,,,5931,3365440334977,3365440334977,3365440334977,3365440334977,YSL,,,false,false
16336,3365440334991,3365440334991,3365440334991,3365440334991,YSL,,,5932,3365440334991,3365440334991,3365440334991,3365440334991,YSL,,,false,false
16337,3365440335004,3365440335004,3365440335004,3365440335004,YSL,,,5933,3365440335004,3365440335004,3365440335004,3365440335004,YSL,,,false,false
16338,3365440335028,3365440335028,3365440335028,3365440335028,YSL,,,5934,3365440335028,3365440335028,3365440335028,3365440335028,YSL,,,false,false
16339,3365440335042,3365440335042,3365440335042,3365440335042,YSL,,,5935,3365440335042,3365440335042,3365440335042,3365440335042,YSL,,,false,false
16340,3365440335066,3365440335066,3365440335066,3365440335066,YSL,,,5936,3365440335066,3365440335066,3365440335066,3365440335066,YSL,,,false,false
16344,3365440352940,3365440352940,3365440352940,3365440352940,YSL,,,5940,3365440352940,3365440352940,3365440352940,3365440352940,YSL,,,false,false
16345,3365440352957,3365440352957,3365440352957,3365440352957,YSL,,,5941,3365440352957,3365440352957,3365440352957,3365440352957,YSL,,,false,false
16346,3365440352971,3365440352971,3365440352971,3365440352971,YSL,,,5942,3365440352971,3365440352971,3365440352971,3365440352971,YSL,,,false,false
16347,3365440352995,3365440352995,3365440352995,3365440352995,YSL,,,5943,3365440352995,3365440352995,3365440352995,3365440352995,YSL,,,false,false
16348,3365440353008,3365440353008,3365440353008,3365440353008,YSL,,,5944,3365440353008,3365440353008,3365440353008,3365440353008,YSL,,,false,false
16349,3365440353015,3365440353015,3365440353015,3365440353015,YSL,,,5945,3365440353015,3365440353015,3365440353015,3365440353015,YSL,,,false,false
17932,3365440333888,3365440333888,3365440333888,3365440333888,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17933,3365440636811,3365440636811,3365440636811,3365440636811,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
17941,3365440061231,3365440061231,3365440061231,3365440061231,YSL,,,7380,137YSL,Ombres Duolumieres,,,YSL,,,true,false
17942,3365440096240,3365440096240,3365440096240,3365440096240,YSL,,,7381,142YSL,Anti-Cernes,,,YSL,,,true,false
17943,3365440096219,3365440096219,3365440096219,3365440096219,YSL,,,7381,142YSL,Anti-Cernes,,,YSL,,,true,false
17944,3365440096189,3365440096189,3365440096189,3365440096189,YSL,,,7381,142YSL,Anti-Cernes,,,YSL,,,true,false
