recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-12,109,products-in-all-categories-Cart-Page,2206,21841,79,25,5,4,133.780000
2020-02-12,121,Search-All-Categ,9,54,0,0,0,0,0.000000
2020-02-12,106,Checkout,476,2281,29,2,0,0,0.000000
2020-02-12,302,Search,10,60,0,0,0,0,0.000000
2020-02-12,109,product-to-product-PDP-Full-Predictive,19237,95898,1274,115,20,16,493.500000
2020-02-13,106,Search,10,56,0,0,0,0,0.000000
2020-02-13,309,Einstein-Cart-Page,227,1133,9,3,1,1,16.060000
2020-02-13,112,Real-Time-Recommendations-Add-to-Cart-Popup,16506,82521,1265,279,63,50,2087.020000
2020-02-13,109,products-in-all-categories-Cart-Page,2240,22209,92,31,5,5,143.800000
2020-02-13,109,product-to-product-PDP-Full-Predictive,18648,92977,1123,93,13,10,362.780000
2020-02-13,109,product-to-product-AddToCart,36257,108355,1952,392,59,48,1893.100000
2020-02-13,106,Checkout,371,1808,21,2,0,0,0.000000
2020-02-13,302,Checkout,1071,6426,54,12,3,3,55.740000
2020-02-13,112,Cart-Page-All-Categories,952,4760,37,10,0,0,0.000000
2020-02-13,112,Real-Time-Recommendations-PDP,9465,94624,580,84,15,13,468.840000
2020-02-13,121,Search-All-Categ,2,12,0,0,0,0,0.000000
2020-02-13,106,PDP-real-time,3246,9603,197,20,1,1,9.430000
2020-02-13,302,Search,41,246,0,0,0,0,0.000000
2020-02-13,302,PDP-Real-Time,5111,15333,216,39,6,6,139.130000
2020-02-13,121,PDP-RealTime,1134,3402,69,15,3,3,81.910000
2020-02-13,121,Checkout-Real-Time,287,1722,21,8,0,0,0.000000
2020-02-14,112,Cart-Page-All-Categories,821,4105,22,3,0,0,0.000000
2020-02-14,106,PDP-real-time,3223,9557,199,28,6,5,131.230000
2020-02-14,109,product-to-product-AddToCart,30734,91738,1537,358,64,55,1929.480000
2020-02-14,309,Einstein-Cart-Page,153,759,2,2,1,1,21.060000
2020-02-14,302,Checkout,1633,9798,71,14,6,5,111.400000
2020-01-31,121,PDP-RealTime,1512,4536,58,24,0,0,0.000000
2020-01-31,112,Real-Time-Recommendations-PDP,9779,97768,604,75,24,22,666.480000
2020-01-31,106,Checkout,782,3845,21,8,1,1,50.170000
2020-01-31,121,Search-All-Categ,4,24,0,0,0,0,0.000000
2020-01-31,112,Cart-Page-All-Categories,1001,5005,37,7,2,2,33.660000
2020-01-31,109,product-to-product-AddToCart,44528,132727,1969,342,67,59,1846.900000
2020-01-31,109,product-to-product-PDP-Full-Predictive,19717,98331,1204,132,21,20,666.280000
2020-01-31,109,products-in-all-categories-Cart-Page,1961,19304,59,20,2,2,51.460000
2020-01-31,112,Real-Time-Recommendations-Add-to-Cart-Popup,16868,84337,1261,303,91,74,2773.070000
2020-01-31,106,Search,10,58,1,0,0,0,0.000000
2020-01-31,121,Checkout-Real-Time,489,2934,41,26,8,3,91.420000
2020-01-31,302,Search,18,108,1,5,0,0,0.000000
2020-01-31,302,Checkout,1799,10794,68,14,7,6,149.940000
2020-01-31,106,PDP-real-time,4088,12143,285,29,1,1,9.840000
2020-01-31,302,PDP-Real-Time,6705,20115,293,50,13,11,206.670000
2020-02-15,106,Checkout,355,1714,18,4,1,1,22.940000
2020-02-15,106,PDP-real-time,3122,9257,231,10,2,2,36.320000
2020-02-15,121,Checkout-Real-Time,249,1494,21,9,7,2,98.630000
2020-02-15,302,Search,7,42,1,0,0,0,0.000000
2020-02-15,309,Einstein-Cart-Page,100,500,2,1,1,1,37.310000
2020-02-15,109,product-to-product-AddToCart,31962,95476,1677,318,62,53,1964.150000
2020-02-15,112,Cart-Page-All-Categories,934,4670,28,3,2,2,106.130000
2020-02-15,106,Search,13,72,0,0,0,0,0.000000
2020-02-15,121,PDP-RealTime,1665,4995,114,4,1,1,8.630000
2020-02-15,112,Real-Time-Recommendations-PDP,8735,87368,534,78,21,20,635.540000
2020-02-15,302,Checkout,1013,6078,39,7,1,1,33.230000
2020-02-15,112,Real-Time-Recommendations-Add-to-Cart-Popup,16201,80995,1224,266,71,58,2295.460000
2020-02-03,309,Einstein-Cart-Page,12,60,0,0,0,0,0.000000
2020-02-03,109,products-in-all-categories-Cart-Page,1883,18678,58,24,5,5,100.050000
2020-02-03,112,Real-Time-Recommendations-Add-to-Cart-Popup,17763,88784,1338,280,86,74,2517.300000
