coupon_id,ncoupon_id,coupon_type,description,is_enabled,redemption_limit,codes_count
20126,PL UD LAMAKEUPBELLA12,1,null,true,0,1
20127,PL UD PAULINYE1,1,null,true,0,1
20128,PL UD IFS UD99!,1,null,true,0,1
20129,PL NYX SUBIEKTYWNA12,1,null,true,0,1
20130,PL UD CHEERSMYHEELS1,1,null,true,0,1
20131,CZ_Tiscali,1,null,true,0,1
20132,CZ_O2výhody,1,null,true,0,1
20133,PL UD STYLOWE,1,null,true,0,1
20134,PL UD LAMODE20,1,null,true,0,1
20135,CZ_freeSH_NL,1,null,true,0,1
20136,CZ_Black Friday 2017,1,null,true,0,1
20137,CZ_ProFilipa,1,null,true,1,1
20138,PL UD 20URBAN,1,null,true,0,1
20139,CZ_O2výhody_2017,1,null,true,0,1
20140,PL_xmas_20%,1,Christmas discount 20%,true,0,1
20141,BONJOUR,1,null,true,0,1
20142,MAKEUP,1,null,true,0,1
20143,FREESHIP,1,null,true,0,1
20144,SUMMER,1,null,true,0,1
20145,SPRING,1,null,true,0,1
20146,TRATTAMENTI15,1,null,true,0,1
20147,FRAGRANZE15,1,null,true,0,1
20148,SORPRESA,1,null,true,0,1
20149,MISS20,1,null,true,0,1
20150,MAKEUP15,1,null,true,0,1
20151,PRODUCT,1,null,true,0,1
20152,PRODUCT50,1,null,true,0,1
20153,geschenkbox,1,null,true,0,1
20154,LANCOME10,1,null,true,0,1
20155,TESTSAPDEGWP,1,null,true,0,1
10163,CYBER20,1,null,true,0,1
10164,PLAGE,1,null,true,0,1
10165,NEWSLETTERTEST,1,null,true,0,1
10166,TOTE,1,null,true,0,1
10167,TEINT,1,null,true,0,1
11820022,GROUPON30,1,null,true,0,1
10169,HYDRATE,1,null,true,0,1
10170,NEWSLETTERH,1,null,true,0,1
10171,NEWSLETTERF,1,null,true,0,1
10173,CADEAU,1,null,true,0,1
10174,SINGLESDAY,1,null,true,0,1
10175,ACTIONARIA,1,null,true,0,1
10176,PL_HUSHVIP_MAY_2016,1,30% discount for whole catalogue,true,0,1
10177,PL_ZMALOWANAUD_2016,1,gift all nighter spray,true,75,1
10178,CZ_O2výhody_II,1,null,true,0,1
10179,PL_UD_ElleGlamourInStyle,1,SzalenstwoZakupów promo PL,true,0,1
10180,PL UD AGUBLOG9,1,-20% excl. novelties,true,0,1
10181,PL UD CREATIVE9,1,-20% excl. novelties,true,0,1
10182,PL_FREE_SHIPPING_APR,1,free shipping,true,150,1
10183,PL_OBSESSIONS_JUNE_2016,1,20% discount,true,0,1
10184,PL_ZMALOWANA_JUNE_2016,1,20% discount,true,0,1
10185,PL_UD20%_JULY_2016,1,20% discount,true,0,1
10186,PL UD PAULINYE9,1,null,true,0,1
10187,PL Fail99 code,1,internal use only,true,0,1
10188,PL_STYLIZACJE9_SEPT_2016,1,20% discount except FALL category,true,0,1
10189,PL UD -20%,1,-20% all assortment,true,0,1
10190,PL_PATT_JULY_2016,1,20% discount for whole catalogue,true,0,1
10191,PL_Black_Friday_2017,1,20% off,true,0,1
10192,PL_july_20,1,-20% for whole catalogue,true,0,1
10193,PL_UD_PALETTE&POTION_20%OFF,1,20% off on pallete and potion,true,0,1
10194,PL_SAMPLE_5,1,choice of select 5 samples,true,0,1
10195,PL_20%-sale off_APR,1,20% discount,true,0,1
10196,PL_HUSH_MAY_2016,1,20% discount for whole catalogue,true,0,1
10197,PL_UD20FACE_JUNE_2016,1,null,true,0,1
10198,PL_UD20_F_E_JULY2016,1,20% discount on category face and eyes,true,0,1
10199,PL_MAFF_JULY_2016,1,20% discount,true,0,1
10200,PL_UD_VICE,1,Buy 2 Vice lipsticks with 15% discount,true,0,1
10201,PL UD STYLEON1,1,null,true,0,1
10202,CZ_Marianne days_sorry,1,null,true,50,1
10203,unpredictible,1,null,true,1,1
10204,PL UD LAMAKEUP,1,null,true,0,1
10205,VIP 10%off,1,Rabat 10%  nie łączy się z innymi promocjami,true,100,1
10206,PL_UD_10%,1,10 % off,true,0,1
10207,PL UD LADYPETITE9,1,20% off (excl. Fall and Vice),false,0,1
10208,PL UD PANNAJOANNA,1,null,true,0,1
10209,PL UD -20 AGATAMANOSA11,1,null,true,0,1
10168,YFQ30,1,null,true,0,1
10210,PL UD PRACOWNIA12,1,null,true,0,1
10211,PL-20pJULY2016,1,20% discount on all assortment except for Vice,true,0,1
10212,PL_PAYU20_march_2016,1,20% Sale Off with payment method PAYU,true,0,1
10213,PL UD Segmentation Voucher50,1,-50 PLN off,true,0,1
10214,PL - Customer Service March 2016 promotion,1,Code for customer service,true,0,1
10215,PL UD BASQUIAT,1,null,true,0,1
10216,PL_UD20_JULY_2016,1,20% discount,true,0,1
10217,PL UD ALEXDARG,1,null,true,0,1
10218,PL_UDSPRING_MARCH_2016,1,20% sale off on catalog,true,0,1
10219,PL UD FOLLOW11,1,null,true,1,1
10220,PL KATOSU1,1,null,true,0,1
10221,PL UD IFS CXKS93,1,null,true,0,1
10222,PL_ALINA_JUNE_2016,1,null,true,0,1
10223,PL_UDLIPS_2016,1,30 % discount on category LIPSTICKS,true,0,1
10224,PL UD ZMALOWANA12,1,null,true,0,1
10225,CZ_Blogers,1,null,true,0,1
10226,PL - March 2016 promotion,1,20% off on all assortment
Valid for 14 days from 15.03 to 29.03.2016
Codes should be unique  but for all customers  and customer should be able to use them many times.,true,0,1
10227,CZ_LadiesNight2017,1,null,true,0,1
10228,PL KIEHLS DLANIEGO,1,null,true,0,1
10229,CZ_lastmin_shopping,1,null,true,0,1
10230,CZ_Teniskology,1,null,true,0,1
10231,WELCOME,1,Frais de port offerts pour tout achat,true,0,1
10232,MINI03,1,null,true,0,1
10233,NIGHT,1,null,true,0,1
10234,WELCOME10,1,null,true,0,1
10235,PLAISIR,1,null,true,0,1
10236,SURPRISE,1,null,true,0,1
10237,FORYOU,1,null,true,0,1
10238,VIP20,1,null,true,0,1
10239,BENVENUTA,1,null,true,0,1
10240,SOUVENIR,1,null,true,0,1
10241,MATTE,1,null,true,0,1
10242,BEAUTY,1,null,true,0,1
10243,TRIO,1,null,true,0,1
10244,MINILANCOME,1,null,true,0,1
10245,REYES,1,null,true,0,1
10246,XMAS,1,null,true,0,1
10247,ES-LINER10,1,null,true,1,1
10248,BIRTHDAY,1,null,true,0,1
10249,BONUS,1,null,true,0,1
10250,ORDER,1,null,true,0,1
10251,TEST_SAP_DE3,1,null,true,0,1
10252,BIRTHDAY,1,null,true,0,1
10253,HAPPY,1,null,true,0,1
10254,TEST_DE_SAP_2,1,null,true,0,1
10255,PARTY,1,null,true,0,1
10256,BIG,1,null,true,0,1
10257,BLACK,1,null,true,0,1
20156,CYBERVIP,1,null,true,0,1
20157,HOLIDAYS,1,null,true,0,1
20158,WELCOME,1,null,true,0,1
20159,MEINEPROBE,1,null,true,0,1
20160,TEST_DE_SAP,1,null,true,0,1
20161,JOY,1,null,true,0,1
20162,PL NYX HAPPY02,1,null,true,1,1
20163,enter promo code XZ and receive discount X % with purchase of X number of products,1,Enter promo code "NYX" and receive discount 10 % with purchase of 5 number of products,true,0,1
20164,Testovací balíček,1,null,true,0,1
11820023,ECENTIME5,1,null,true,0,1
20166,PL NYX KISSED,1,null,true,0,1
20167,PL NYX Black Friday 50,1,null,true,0,1
20168,PL UD ALEXDARG,1,null,true,0,1
20169,PL_Christmas_50%,1,null,true,0,1
20170,PL NYX YOUROCK,1,null,true,0,1
20171,ROUTINE,1,null,true,0,1
20172,WEEKEND,1,null,true,0,1
20173,ANNIVERSAIRE,1,null,true,0,1
20174,YFQ25,1,null,true,0,1
20175,BIOTHERM20,1,null,true,0,1
20165,PL_NYX_Welcome20,1,newsletter rabat za zapis: 20% ( total asortyment ),true,0,1
20178,REGALO,1,null,true,0,1
20179,BIRTHDAY,1,null,true,0,1
20180,EARLYXMAS,1,null,true,0,1
20205,AQUA,1,null,true,0,1
20182,RITUEL,1,null,true,0,1
20183,WINTER,1,null,true,0,1
20184,LOYALTY,1,null,true,0,1
20185,BIENVENIDO,1,null,true,0,1
20186,BENVENUTA,1,null,true,0,1
20187,MISSYOU,1,null,true,0,1
20188,TENONSKU,1,null,true,0,1
20189,FREESHIP-DE,1,null,true,0,1
20190,FIVEOFFALL,1,null,true,0,1
20191,MIRACLE,1,une trousse biotherm + 4 minis offerts pour achat d'un produit Aquasource,true,0,1
20192,SOURCE,1,null,true,0,1
20203,OXYGEN,1,null,true,0,1
20194,BODY,1,null,true,0,1
20195,PLUMP,1,null,true,0,1
20196,TRAVEL,1,null,true,0,1
20197,VIP5,1,null,true,0,1
20198,REISE,1,null,true,0,1
20199,REISE2,1,null,true,0,1
20200,WILLKOMMEN,1,null,true,0,1
20201,RG17,1,20% off the whole catalogue (men and women),true,0,1
20202,GROOMING,1,null,true,0,1
20204,ROSE2,1,null,true,1,1
20181,VIP30,1,null,true,0,1
