promotion_id,npromotion_id,display_name,promotion_class,is_continuous,valid_from,valid_to
16560051,IT_WATERCREAM,IT_WATERCREAM,ORDER,true,,
16560052,IT-CONVBOOS-PREVENTION,IT-CONVBOOS-PREVENTION,ORDER,true,,
16560053,IT-Promo-Idole-Flyer,IT-Promo-Idole-Flyer,PRODUCT,true,,
16560054,E2-NL-FREESHIPPING-AUGUST19,E2-NL-FREESHIPPING-AUGUST19,SHIPPING,true,,
16560055,E2-AT-GWP-BACK-AUGUST19,E2-AT-GWP-BACK-AUGUST19,ORDER,true,,
16560056,GWP_NewFemfree_20190729,GWP_NewFemfree_20190729,ORDER,false,,
35940079,UDC_FR_2020-11-16_2020-11-19_MAKEUPKIT,UDC_FR_2020-11-16_2020-11-19_MAKEUPKIT,PRODUCT,false,,
41030001,__UNDEFINED__,XXX,UNKNOWN,false,,
16600001,FR_GWP_SOLEIL_20190805,FR_GWP_SOLEIL_20190805,ORDER,true,,
16570001,ES_GWP_PALETAS_20190805,ES_GWP_PALETAS_20190805,ORDER,true,,
16670001,FR_VEEPEE_GWP_20190807,FR_VEEPEE_GWP_20190807,PRODUCT,true,,
16670002,pl-200pln-off,pl-200pln-off,ORDER,true,,
16630001,FR_GWP1_VACANCES_20190805,FR_GWP1_VACANCES_20190805,ORDER,true,,
16590001,FREESHIPPING_IDOLE_FR,FREESHIPPING_IDOLE_FR,SHIPPING,true,,
16610001,ES-NECESER-AGOSTO,ES-NECESER-AGOSTO,ORDER,true,,
16650001,20%-OFF-ON-OBSOLETES,20%-OFF-ON-OBSOLETES,PRODUCT,true,,
16670003,FR-GWPforOder90€-Best&Loyal,FR-GWPforOder90€-Best&Loyal,ORDER,true,,
16620001,E2-CHSKIN,E2-CHSKIN,PRODUCT,true,,
16670004,free-troublemaker-mascara-07082019,free-troublemaker-mascara-07082019,PRODUCT,true,,
16670005,GWP_BARNET99_20190808,GWP_BARNET99_20190808,ORDER,true,,
16670006,E2-NO-F&F-AUGUST19,E2-NO-F&F-AUGUST19,ORDER,true,,
