request_date,site_id,api_resource,api_name,api_version,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11,api_family
2024-01-01 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,2207719,2145,2106,53,8,4,0,0,0,0,0,1,
2024-01-02 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4295,2255949,2123,2042,115,15,0,0,0,0,0,0,0,
2024-01-03 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4301,2237327,2125,2099,66,5,4,1,1,0,0,0,0,
2024-01-05 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,2946,1482553,1473,1429,30,13,0,1,0,0,0,0,0,
2024-01-04 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,3518,1801547,1739,1732,37,8,1,0,0,0,1,0,0,
2025-06-22 00:00:00.000,-1,/ping,echo,v1,499,GET,1,148,1,0,0,0,0,0,0,0,0,0,0,samples
2024-01-28 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4311,2188058,2144,2105,47,14,0,0,0,0,0,0,1,
2024-01-20 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10010,0,0,0,0,0,0,0,0,0,0,1,
2024-02-02 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10007,0,0,0,0,0,0,0,0,0,0,1,
2024-01-07 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4292,2194877,2138,2079,61,12,1,1,0,0,0,0,0,
2024-01-09 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4296,2223285,2117,2113,51,12,3,0,0,0,0,0,0,
2024-01-19 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,2252258,2128,2110,68,9,1,1,0,0,0,0,0,
2024-01-13 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4314,2205561,2153,2079,71,5,5,0,1,0,0,0,0,
2024-01-22 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4287,2240113,2099,2111,64,11,2,0,0,0,0,0,0,
2024-01-16 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4291,2298147,2112,2018,116,37,6,1,0,1,0,0,0,
2024-01-25 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10009,0,0,0,0,0,0,0,0,0,0,1,
2024-01-06 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4313,2202987,2140,2089,68,14,0,0,1,0,0,0,1,
2024-01-23 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9011,0,0,0,0,0,0,0,0,0,0,1,
2024-01-29 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,2,19011,0,0,0,0,0,0,0,0,0,0,2,
2024-01-10 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4287,2296205,2100,2031,123,19,5,3,3,1,0,0,2,
2024-01-20 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4284,2184108,2127,2084,56,14,2,1,0,0,0,0,0,
2024-01-14 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4309,2259755,2129,2039,102,23,11,5,0,0,0,0,0,
2024-01-11 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4267,2256138,2128,1972,145,16,3,1,2,0,0,0,0,
2024-01-27 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4316,2176663,2150,2104,55,6,1,0,0,0,0,0,0,
2024-01-17 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4318,2252630,2129,2118,53,16,1,1,0,0,0,0,0,
2024-02-08 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4318,2363664,2075,2098,119,21,5,0,0,0,0,0,0,
